Politopo Reduzido 5 qubits lido de arquivo.
Previsão 3 qubits: 0.48624928271184203  s
Previsão 3 qubits: 0.4832349288754347  s
Previsão 3 qubits: 0.4802042745774792  s
Previsão 3 qubits: 0.47719550132751465  s
Previsão 3 qubits: 0.4741910639263335  s
Previsão 3 qubits: 0.47118312167370413  s
Previsão 3 qubits: 0.4681966155767441  s
Previsão 3 qubits: 0.4652263840963674  s
Previsão 3 qubits: 0.4622637858757606  s
Previsão 3 qubits: 0.45928371589602407  s
Previsão 3 qubits: 0.4563258344476873  s
Previsão 3 qubits: 0.453348658138648  s
Previsão 3 qubits: 0.4503976764963634  s
Previsão 3 qubits: 0.44744253158569336  s
Previsão 3 qubits: 0.44450822998495665  s
Previsão 3 qubits: 0.4415724956206162  s
Previsão 3 qubits: 0.43864109205163043  s
Previsão 3 qubits: 0.4357192036059263  s
Previsão 3 qubits: 0.4328008379255022  s
Previsão 3 qubits: 0.4298859606397913  s
Previsão 3 qubits: 0.42696923269352444  s
Previsão 3 qubits: 0.42408015011073824  s
Previsão 3 qubits: 0.4211627046267192  s
Previsão 3 qubits: 0.41828285414597083  s
Previsão 3 qubits: 0.41539721619592956  s
Previsão 3 qubits: 0.41250387989744847  s
Previsão 3 qubits: 0.40970290673745646  s
Previsão 3 qubits: 0.40683464235907435  s
Previsão 3 qubits: 0.40397167205810547  s
Previsão 3 qubits: 0.4011011723651002  s
Previsão 3 qubits: 0.3982400141264263  s
Previsão 3 qubits: 0.39539754156972845  s
Previsão 3 qubits: 0.3925547940390451  s
Previsão 3 qubits: 0.38971699437787455  s
Previsão 3 qubits: 0.3868613609900841  s
Previsão 3 qubits: 0.384013876034196  s
Previsão 3 qubits: 0.38118973562989056  s
Previsão 3 qubits: 0.3783525790808336  s
Previsão 3 qubits: 0.37552928924560547  s
Previsão 3 qubits: 0.37271198870972816  s
Previsão 3 qubits: 0.36990214277196815  s
Previsão 3 qubits: 0.36709712619430446  s
Previsão 3 qubits: 0.3642756648179961  s
Previsão 3 qubits: 0.3614706776358865  s
Previsão 3 qubits: 0.3586819717682988  s
Previsão 3 qubits: 0.3558797265241246  s
Previsão 3 qubits: 0.3530913421085903  s
Previsão 3 qubits: 0.3503126392703085  s
Previsão 3 qubits: 0.3475520470563103  s
Previsão 3 qubits: 0.3447869535078082  s
Previsão 3 qubits: 0.342010498046875  s
Previsão 3 qubits: 0.33923860230197794  s
Previsão 3 qubits: 0.33646855683162297  s
Previsão 3 qubits: 0.33370648111615864  s
Previsão 3 qubits: 0.33093800327994605  s
Previsão 3 qubits: 0.3281627832832983  s
Previsão 3 qubits: 0.32540142670106353  s
Previsão 3 qubits: 0.3226299032818672  s
Previsão 3 qubits: 0.3198714256286621  s
Previsão 3 qubits: 0.3171147088319557  s
Previsão 3 qubits: 0.3143561881977123  s
Previsão 3 qubits: 0.31160072811314315  s
Previsão 3 qubits: 0.3088395491890285  s
Previsão 3 qubits: 0.30608896307043126  s
Previsão 3 qubits: 0.3033405580828267  s
